sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,policy,product_type
1wsssct8214,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Saxa Fine Salt,https://worldshops.co.uk/assets/front/img/no-img.png,"Fine flowing salt, harvested from mineral rich sea water. Our fine sea salt offers natural flavour in a convenient format.",0.95,,,,normal
1wsssct8234,World Spices,"Salt, Seasonings & Coatings",Black Salt,Supreme black salt powder,https://worldshops.co.uk/assets/front/img/no-img.png,"Supreme black salt powder is used in used along other spices in many sub-continent dishes like salad, chutney, raita etc.",0.49,,,,normal
1wsssct8235,World Spices,"Salt, Seasonings & Coatings",Black Salt,Alamgeer Black Salt,https://worldshops.co.uk/assets/front/img/no-img.png,"Alamgeer Black Salt - 200g. 

Alamgeer Natural Black Salt has been used in the Indian Sub Continent for many generations.

It can be used in food, pickles, chutneys, yogurts and salads. The health benefits of black salt over table salt are as follows:

- Eases constipation
- Helps with bloating
- Cools down heart burns
- Helps with indigestion

It has many other benefits and makes for an excellent replacement for table salt. A must in every kitchen",1.29,,,,normal
1wsssct8236,World Spices,"Salt, Seasonings & Coatings",Black Salt,Supreme black salt whole,https://worldshops.co.uk/assets/front/img/no-img.png,Supreme Black Salt whole is used as a cooling and used as a digestive aid.,0.49,,,,normal
1wsssct8237,World Spices,"Salt, Seasonings & Coatings",Black Salt,Regal black Salt 750g,https://worldshops.co.uk/assets/front/img/no-img.png,"""Our 100% natural Himalayan Black Salt has many health benefits including providing your body with the minerals needed, and also helping with heartburn and bloating. Black salt can also be used to finish of cooked dishes adding a distinctive smokey taste.""",1.49,,,,normal
1wsssct8238,World Spices,"Salt, Seasonings & Coatings",Black Salt,Alamgeer Natural Black Salt Coarse,https://worldshops.co.uk/assets/front/img/no-img.png,"Alamgeer Natural Black Salt Coarse - 400g. 

Alamgeer Natural Black Salt has been used in the Indian Sub Continent for many generations.

It can be used in food, pickles, chutneys, yogurts and salads. The health benefits of black salt over table salt are as follows:

- Eases constipation
- Helps with bloating
- Cools down heart burns
- Helps with indigestion

It has many other benefits and makes for an excellent replacement for table salt. A must in every kitchen.",2.29,,,,normal
1wsssct8239,World Spices,"Salt, Seasonings & Coatings",Black Salt,Alamgeer Natural Black Salt Whole - 375g,https://worldshops.co.uk/assets/front/img/no-img.png,"Alamgeer Natural Black Salt Whole - 375g. 

Alamgeer Natural Black Salt has been used in the Indian Sub Continent for many generations.

It can be used in food, pickles, chutneys, yogurts and salads. The health benefits of black salt over table salt are as follows:

- Eases constipation
- Helps with bloating
- Cools down heart burns
- Helps with indigestion

It has many other benefits and makes for an excellent replacement for table salt. A must in every kitchen.",1.69,,,,normal
1wsssct8240,World Spices,"Salt, Seasonings & Coatings",Black Salt,East End Black Salt Powder,https://worldshops.co.uk/assets/front/img/no-img.png,"Black Salt is a volcanic rock salt manufactured in the regions surrounding the Himalayas. It contains, in addition to sodium chloride (the key chemical compound of salt), traces of sulphur compounds naturally found in the Himalayan mountains. Perfect to use in Cooking and with any dish! This version is ground up as it is a powder.

The benefits:

Antioxidant properties and surprisingly low sodium levels.
Contains important minerals like iron, calcium, and magnesium, which are essential to healthy bodies. 
Stimulates bile production in the liver, and helps control heartburn and bloating.",0.49,,,,normal
1wsssct8241,World Spices,"Salt, Seasonings & Coatings",Black Salt,Heera Black Rock Salt,https://worldshops.co.uk/assets/front/img/no-img.png,"
Heera Black Rock Salt (100g).

Heera Black Salt, also known as Kala Namak, is heated in heavy clay pots for many hours together with the precious ayurvedic Haritaki and Amla fruits. During this process, the salt absorbs the precious contents of the fruits and turns into salt crystals of reddish, brown colour and sulfureos smell.

Ayurvedic black salt is a great ingredient and supplement to all kinds of Asian foods, and used in the right dosage enhances the deliciousness of any dish!
",0.59,,,,normal
1wsssct8242,World Spices,"Salt, Seasonings & Coatings",Pink Salt,Jazaa Pink Salt - 800g,https://worldshops.co.uk/assets/front/img/no-img.png,"Jazaa Pink Salt - 800g. Jazaa Himalayan Pink Salt is known as the purest salt; which comes from the foothills of the Himalaya's and is enriched with multiple health benefits that add value to your daily dishes.
",1.99,,,,normal
1wsssct8243,World Spices,"Salt, Seasonings & Coatings",Pink Salt,Malka pink Himalayan salt,https://worldshops.co.uk/assets/front/img/no-img.png,"Malka pink Himalayan salt- 900g

Malka brings you pure and premium Himalayan Pink Salt in its purest form, free from impurities and naturally fortified with 84 minerals to prevent deficiency disorders and help in better functioning of the body.",1.99,,,,normal
1wsssct8244,World Spices,"Salt, Seasonings & Coatings",Pink Salt,Alamgeer Himalayan Pink Salt,https://worldshops.co.uk/assets/front/img/no-img.png,"Alamgeer Himalayan Pink Salt Rocks. An excellent alternative to regular table salt with amazing health benefits.

Health Benefits of Pink Salt

Rich mineral Content
Pink salt is extremely high in mineral content
Lower Sodium
As pink salt often has larger crystals than table salt, it technically contains less sodium per teaspoon. It also has a saltier flavor than table salt, meaning that a person can use less salt in a serving to achieve the same taste.",1,,,,normal
1wsssct8245,World Spices,"Salt, Seasonings & Coatings",Pink Salt,Tooba himalayan pink rock salt,https://worldshops.co.uk/assets/front/img/no-img.png,"Tooba Himalayan Pink Salt Rocks. An excellent alternative to regular table salt with amazing health benefits.

Health Benefits of Pink Salt

Rich mineral Content
Pink salt is extremely high in mineral content
Lower Sodium
As pink salt often has larger crystals than table salt, it technically contains less sodium per teaspoon. It also has a saltier flavor than table salt, meaning that a person can use less salt in a serving to achieve the same taste.",1.19,,,,normal
1wsssct8246,World Spices,"Salt, Seasonings & Coatings",Pink Salt,Heera virgin pink himalayan salt- 3kg,https://worldshops.co.uk/assets/front/img/no-img.png,"Heera virgin pink himalayan salt- 3kg

Premium and Naturally Fortified Virgin Pink Himalayan Salt in its natural state - free from impurities, having delectable & delicious flavour",4.49,,,,normal
